surface,penalty,epochs,time_sec,reconstruction_mean,reconstruction_std,tangent_mean,tangent_std,encoder contr_mean,encoder contr_std,decoder contr_mean,decoder contr_std,diffeo_mean,diffeo_std,curvature_mean,curvature_std,hessian_mean,hessian_std,weight_tangent_bundle,weight_contractive,weight_normal_decoder_jacobian,weight_decoder_contraction,weight_diffeo,weight_curvature
paraboloid,baseline,500,11.516434907913208,0.04676330089569092,0.08207938820123672,0.06515534967184067,0.08334977179765701,1.2513607740402222,0.46224063634872437,3.1001617908477783,0.48027491569519043,0.2814246118068695,0.32118478417396545,0.4887160062789917,0.8276116251945496,3.75166654586792,2.765866756439209,0.0,0.0,0.0,0.0,0.0,0.0
paraboloid,tangent,500,10.802546977996826,0.02568945661187172,0.07254725694656372,0.0025336677208542824,0.0042948476038873196,1.246444582939148,0.39916521310806274,3.658115863800049,0.6656854748725891,0.19659578800201416,0.2596195340156555,0.11726245284080505,0.2723022997379303,2.8872430324554443,2.493809938430786,1.0,0.0,0.0,0.0,0.0,0.0
paraboloid,diffeo,500,13.169643878936768,0.16647227108478546,0.25834205746650696,0.49095940589904785,0.22222758829593658,0.7496628761291504,0.05302897095680237,5.3324737548828125,0.1949821412563324,0.007852647453546524,0.015383119694888592,1.9653202295303345,0.6169895529747009,4.809568405151367,0.6354191303253174,0.0,0.0,0.0,0.0,1.0,0.0
paraboloid,tangent+diffeo,500,15.44079875946045,0.4145369529724121,0.40707704424858093,0.061321381479501724,0.04772631824016571,2.481694221496582,0.9133548736572266,14.426154136657715,3.442913055419922,0.2909948527812958,0.21926485002040863,0.6185840368270874,0.3948029577732086,14.848305702209473,8.503561019897461,1.0,0.0,0.0,0.0,1.0,0.0
paraboloid,tangent+curvature,500,24.93466353416443,0.01772904209792614,0.049399103969335556,0.0017061233520507812,0.0022788639180362225,1.2326836585998535,0.39347153902053833,3.7898898124694824,0.6225605607032776,0.1755376160144806,0.24318355321884155,0.012266830541193485,0.03072105534374714,2.097846746444702,1.9484765529632568,1.0,0.0,0.0,0.0,0.0,1.0
hyperbolic paraboloid,baseline,500,6.0103983879089355,0.02110178768634796,0.03497583419084549,0.014369401149451733,0.01704363152384758,1.2716227769851685,0.5401992201805115,3.874007225036621,0.6762399673461914,0.21587543189525604,0.19544832408428192,0.2812740206718445,0.4205809235572815,22.951326370239258,6.924186706542969,0.0,0.0,0.0,0.0,0.0,0.0
hyperbolic paraboloid,tangent,500,11.280970335006714,0.01747725158929825,0.02509581483900547,0.004590580239892006,0.00471070921048522,1.2561097145080566,0.5641791820526123,4.04449987411499,0.8284508585929871,0.20562754571437836,0.19691883027553558,0.03876012563705444,0.04396761953830719,25.553483963012695,5.991319179534912,1.0,0.0,0.0,0.0,0.0,0.0
hyperbolic paraboloid,diffeo,500,13.528210163116455,0.06677727401256561,0.08679650723934174,0.22560156881809235,0.14655089378356934,0.8500279188156128,0.1184702068567276,5.233795642852783,0.6623036861419678,0.02134533040225506,0.028897736221551895,0.7478373646736145,1.138529658317566,22.785417556762695,7.438729763031006,0.0,0.0,0.0,0.0,1.0,0.0
hyperbolic paraboloid,tangent+diffeo,500,14.582338809967041,0.46885135769844055,0.5263268351554871,0.11575005203485489,0.09239635616540909,1.541884183883667,0.5080822706222534,20.5516357421875,8.370508193969727,0.3025256395339966,0.21573765575885773,0.5274794697761536,0.7195993065834045,81.91168212890625,56.6759033203125,1.0,0.0,0.0,0.0,1.0,0.0
hyperbolic paraboloid,tangent+curvature,500,24.326492071151733,0.016153842210769653,0.0285114087164402,0.004273703787475824,0.0040781558491289616,1.309167504310608,0.5686346888542175,4.13701868057251,0.7911936640739441,0.21892423927783966,0.20157556235790253,0.0074324957095086575,0.012216048315167427,25.5192813873291,5.320878028869629,1.0,0.0,0.0,0.0,0.0,1.0
