config,seed,reconstruction,tangent,curvature,E_mu,E_Sigma,sigma_min_min,sigma_min_p5,sigma_min_median
baseline,42,0.009816998,0.04661056,0.06260267,0.06999890506267548,0.03205645829439163,1.0892417430877686,1.1237983703613281,1.2178375720977783
T,42,0.016571248,0.0047705374,0.0068886373,0.010615243576467037,0.003966385964304209,1.0161542892456055,1.056533694267273,1.1780050992965698
K,42,0.005501796,0.012884948,0.02355838,0.015749404206871986,0.008258821442723274,1.0730372667312622,1.1326748132705688,1.2351622581481934
F,42,0.114625394,0.63980734,0.28704178,0.8134247064590454,1.0177973508834839,1.7918040752410889,1.8114815950393677,1.8771474361419678
C,42,0.11438165,0.6482481,0.2889408,0.8506810069084167,1.028111219406128,4.103336334228516,4.177146911621094,4.307633876800537
T+K,42,0.009595972,0.00351796,0.0062018395,0.005880588665604591,0.0020989931654185057,1.004980444908142,1.0471925735473633,1.1834944486618042
T+F,42,0.0003409664,0.0028683073,0.008988441,0.006293802056461573,0.0014424995752051473,1.3613402843475342,1.3986655473709106,1.4922701120376587
F+K,42,0.15222971,0.5518729,0.21817331,0.29359355568885803,0.39822521805763245,1.4198344945907593,1.4373371601104736,1.6504499912261963
T+F+K,42,0.002780067,0.0040641734,0.008909287,0.008584333583712578,0.003149607917293906,1.3767327070236206,1.423064947128296,1.5027672052383423
baseline,1042,0.01932592,0.06494588,0.063381344,0.06531140208244324,0.047658197581768036,1.0483503341674805,1.1282877922058105,1.2222965955734253
T,1042,0.0141961025,0.0074199657,0.0060972166,0.003974368330091238,0.0009699412039481103,1.0355218648910522,1.053795576095581,1.1501976251602173
K,1042,0.018646639,0.032752845,0.025635796,0.019978143274784088,0.014135478064417839,0.9583421945571899,1.0441961288452148,1.206950068473816
F,1042,0.13744436,0.64588046,0.29587463,0.9796550869941711,1.036623239517212,1.5594727993011475,1.6495729684829712,1.8433890342712402
C,1042,0.15056017,0.65646154,0.2982661,0.9794319868087769,1.0386247634887695,4.629820823669434,4.67677640914917,4.841461658477783
T+K,1042,0.013324439,0.0069817095,0.0058035767,0.003384677227586508,0.000875235244166106,1.0437803268432617,1.057492733001709,1.1654796600341797
T+F,1042,0.0036402082,0.008400784,0.010597135,0.005647498182952404,0.0024466775357723236,1.4329503774642944,1.4559032917022705,1.525112509727478
F+K,1042,0.21309207,0.6626927,0.26227608,0.9792545437812805,0.6269499659538269,1.2335307598114014,1.3160706758499146,1.6967673301696777
T+F+K,1042,0.004805189,0.008904344,0.010466518,0.006369148381054401,0.0029211868532001972,1.4518641233444214,1.4609010219573975,1.5236095190048218
baseline,2042,0.022358673,0.047373004,0.04955637,0.07169158011674881,0.02626027725636959,1.1372030973434448,1.1596181392669678,1.222494125366211
T,2042,0.005926534,0.0019611435,0.005121192,0.0026581906713545322,0.0009051384404301643,0.9818326234817505,1.0488581657409668,1.2259262800216675
K,2042,0.011355778,0.015657973,0.01374456,0.013819310814142227,0.0067408159375190735,1.0775632858276367,1.131587266921997,1.2377793788909912
F,2042,0.10096416,0.56752056,0.2652205,0.8388514518737793,0.8366737365722656,1.4980746507644653,1.5136276483535767,1.650344729423523
C,2042,0.121150084,0.6564728,0.29804063,1.039640188217163,0.927574098110199,4.5470380783081055,4.617376804351807,4.77118444442749
T+K,2042,0.008133375,0.0032396552,0.0049407114,0.005649476312100887,0.0021862341091036797,0.9775019288063049,1.0394248962402344,1.2072508335113525
T+F,2042,0.0019685314,0.0025012947,0.0057941545,0.005298593081533909,0.001934277475811541,1.355758786201477,1.3738399744033813,1.4774013757705688
F+K,2042,0.041568086,0.23574023,0.11125862,0.2121940553188324,0.21541133522987366,1.1548503637313843,1.2655705213546753,1.4092200994491577
T+F+K,2042,0.0007306884,0.0024369883,0.0062543266,0.0057439799420535564,0.0019526941468939185,1.3951891660690308,1.407617211341858,1.518701195716858
baseline,3042,0.005713653,0.037322585,0.046594635,0.037607692182064056,0.016463275998830795,1.056735873222351,1.1545413732528687,1.2577091455459595
T,3042,0.00559942,0.0021326076,0.003538145,0.002921284409239888,0.0008072400232777,0.9294844269752502,0.9856175184249878,1.150902509689331
K,3042,0.0043403786,0.018105755,0.013200533,0.009188013151288033,0.008977474644780159,1.080157995223999,1.155190110206604,1.2784273624420166
F,3042,0.11601346,0.59811413,0.26830247,0.5802841186523438,0.7593693733215332,1.6887863874435425,1.7090656757354736,1.7904555797576904
C,3042,0.11427518,0.5955763,0.2650638,0.5558834671974182,0.7653316855430603,3.2870066165924072,3.3513472080230713,3.6211085319519043
T+K,3042,0.008354896,0.0038984164,0.0035784987,0.00729737151414156,0.0033613615669310093,0.9436942934989929,0.9897300004959106,1.1427361965179443
T+F,3042,0.00026013367,0.0022510495,0.0056590284,0.00403868593275547,0.001179513055831194,1.347080945968628,1.358293056488037,1.497840404510498
F+K,3042,0.28805903,0.8447147,0.29466352,0.46593037247657776,0.3804734945297241,1.614023208618164,1.6162570714950562,1.6542057991027832
