surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,gt_mfpt,lr_mfpt,mfpt_err,gt_rate,lr_rate,rate_err,transition_frac,gt_transition_frac,gt_transitions,lr_transitions,W2@1.0
paraboloid,baseline,42,2.0361285360150078e-05,0.051619887351989746,0.029481064528226852,1.2395259141921997,7.319165229797363,6.933716297149658,0.05266296367767292,0.39978,0.43779,0.09507729251088094,0.8778,0.8506,39978,43779,0.15379070146427107
paraboloid,T,42,7.193759361754603e-05,0.006699168123304844,0.0021913698874413967,1.0203481912612915,7.319165229797363,6.875843524932861,0.06056998181427524,0.39978,0.36247,0.09332632948121469,0.7396,0.8506,39978,36247,0.26789024295151087
paraboloid,T+F,42,0.0001268097250467509,0.01234171912074089,0.008338804356753826,1.3611708879470825,7.319165229797363,7.244144916534424,0.01024984556401611,0.39978,0.46727,0.16881784981739956,0.8426,0.8506,39978,46727,0.13243976087382112
paraboloid,baseline,1042,1.949647358104364e-05,0.05000875145196915,0.03101048618555069,1.218937873840332,7.277156829833984,6.938775539398193,0.046499106498369996,0.39148,0.44382,0.13369776233779504,0.876,0.8476,39148,44382,0.1333499986495514
paraboloid,T,1042,3.7435613646732634e-05,0.005378584377467632,0.0006719900411553681,1.082898497581482,7.277156829833984,6.504827976226807,0.10613057704636511,0.39148,0.44123,0.12708184326146935,0.8464,0.8476,39148,44123,0.23176012033856283
paraboloid,T+F,1042,1.8820984390985907e-05,0.005727779120206833,0.0013361467281356454,1.25701904296875,7.277156829833984,7.383908748626709,0.014669454196050351,0.39148,0.37048,0.05364258710534387,0.8346,0.8476,39148,37048,0.10508026801551071
paraboloid,baseline,2042,3.495121801003295e-05,0.030315272510051727,0.01721557416021824,1.1677051782608032,7.21438455581665,6.975833892822266,0.03306597550335067,0.39444,0.42339,0.07339519318527526,0.88,0.8508,39444,42339,0.16886963559488882
paraboloid,T,2042,7.577346109632236e-05,0.005363790318369865,0.0013984445249661803,1.0007550716400146,7.21438455581665,5.784033298492432,0.1982637945423893,0.39444,0.49924,0.2656931345705304,0.8886,0.8508,39444,49924,0.26936379708097247
paraboloid,T+F,2042,6.197674654016448e-05,0.006065124645829201,0.002820150228217244,1.237735629081726,7.21438455581665,7.500820159912109,0.03970340115353543,0.39444,0.36706,0.06941486664638478,0.8068,0.8508,39444,36706,0.14486575184844983
paraboloid,baseline,3042,3.298141052992783e-05,0.054290398955345154,0.018278636038303375,1.2162270545959473,7.224501609802246,7.064237117767334,0.022183466859148362,0.40003,0.37936,0.05167112466565013,0.8512,0.8556,40003,37936,0.15686559732534414
paraboloid,T,3042,4.174875382760271e-05,0.006494749337434769,0.0008088022586889565,1.0243146419525146,7.224501609802246,4.860849857330322,0.3271716002201325,0.40003,0.59536,0.48828837837162214,0.9126,0.8556,40003,59536,0.2649880502363724
paraboloid,T+F,3042,1.9178346994875082e-05,0.0032084195408970118,0.0013931866269558668,1.239573359489441,7.224501609802246,7.416444778442383,0.0265683612527274,0.40003,0.34476,0.13816463765217604,0.8018,0.8556,40003,34476,0.11421530242183842
paraboloid,baseline,4042,6.249856982213347e-05,0.05178646743297577,0.03514855355024338,1.1577023267745972,7.2683916091918945,7.045579433441162,0.030654949228238523,0.39026,0.372,0.04678931994055245,0.862,0.8492,39026,37200,0.1478473516592773
paraboloid,T,4042,3.813751116024321e-05,0.006473265588283539,0.0010602253023535013,1.0094283819198608,7.2683916091918945,6.942145824432373,0.04488555409520563,0.39026,0.48514,0.24311997130118387,0.8892,0.8492,39026,48514,0.10793173181597597
paraboloid,T+F,4042,5.0030565306321896e-05,0.011085442267358303,0.0036007517483085394,1.2385965585708618,7.2683916091918945,6.3617777824401855,0.12473376167640299,0.39026,0.51098,0.30933224004509813,0.9158,0.8492,39026,51098,0.15586547128328015
paraboloid,baseline,5042,2.851055480947542e-05,0.030223187059164047,0.01338354405015707,1.2221802473068237,7.195063591003418,6.371774673461914,0.11442413359222148,0.39759,0.48598,0.22231444452828297,0.9138,0.8504,39759,48598,0.1703974414705554
