surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,gt_mfpt,lr_mfpt,mfpt_err,gt_rate,lr_rate,rate_err,transition_frac,gt_transition_frac,gt_transitions,lr_transitions,W2@1.0
paraboloid,baseline,42,7.054004910869979e-05,0.0990697592496872,0.07469754666090012,1.081758737564087,7.786612033843994,8.119109153747559,0.04270112835446119,0.3866,0.2495,0.35463010863942057,0.808,0.85,3866,2495,0.23452551243198136
paraboloid,T,42,0.004421449715818339,0.0541992112994194,0.0202427227050066,1.0494784116744995,7.786612033843994,8.558656692504883,0.09915026654792194,0.3866,0.4147,0.07268494568028974,0.67,0.85,3866,4147,0.9959144320178955
paraboloid,F,42,0.003915166380393564,3.4765217304229736,1.46116304397583,1.1259087324142456,7.786612033843994,0.009999998845160007,0.9987157445623724,0.3866,0.0,1.0,1.0,0.85,3866,0,0.9861411549031522
paraboloid,T+F,42,0.000424221417500605,0.019003883004188538,0.015415404923260212,1.353350281715393,7.786612033843994,6.215886116027832,0.20172135339337646,0.3866,0.4322,0.11795137092602166,0.948,0.85,3866,4322,0.39059338739269817
paraboloid,baseline,1042,7.614068019745955e-05,0.1339637190103531,0.10448476672172546,1.0336229801177979,7.525891304016113,6.433569431304932,0.1451418614202248,0.3541,0.5498,0.5526687376447329,0.93,0.842,3541,5498,0.24385879240628192
paraboloid,T,1042,3.070101160463409e-05,0.007757918909192085,0.0013869465328752995,1.0142778158187866,7.525891304016113,7.419135093688965,0.014185191629087057,0.3541,0.5484,0.5487150522451284,0.902,0.842,3541,5484,0.15823963864773147
paraboloid,F,1042,0.003890150518559698,4.635135650634766,1.481522798538208,1.0749262571334839,7.525891304016113,0.009999998845160007,0.9986712538832678,0.3541,0.0,1.0,1.0,0.842,3541,0,0.964961112664434
paraboloid,T+F,1042,0.00013326184444166535,0.018565917387604713,0.006091088056564331,1.3046215772628784,7.525891304016113,7.298863887786865,0.030166183254347195,0.3541,0.3927,0.10900875458909902,0.792,0.842,3541,3927,0.24935149385575808
paraboloid,baseline,2042,5.974116461787058e-05,0.08280330151319504,0.05543074011802673,1.0603309869766235,7.477281093597412,5.8724260330200195,0.21463083178076392,0.3913,0.5624,0.43726041400460014,0.948,0.846,3913,5624,0.27142010483766504
paraboloid,T,2042,7.820503776939354e-05,0.01250169426202774,0.003112246049568057,1.0322017669677734,7.477281093597412,4.610449314117432,0.383405644858633,0.3913,0.6533,0.6695629951443905,0.98,0.846,3913,6533,0.42905455896595857
paraboloid,F,2042,0.0038532973521977513,3.9950664043426514,1.3617377281188965,1.0683307647705078,7.477281093597412,0.009999998845160007,0.9986626156326097,0.3913,0.0,1.0,1.0,0.846,3913,0,0.9279682553674261
paraboloid,T+F,2042,0.0003362531166764634,0.020119553431868553,0.015111617743968964,1.2673532962799072,7.477281093597412,5.060486793518066,0.3232183289389481,0.3913,0.6744,0.7234858165090724,0.986,0.846,3913,6744,0.3214020749100493
paraboloid,baseline,3042,4.890138996922555e-05,0.10739251226186752,0.04147041589021683,1.0317925214767456,7.008948802947998,6.89024543762207,0.01693597266340432,0.383,0.5629,0.4697127937336813,0.894,0.818,3830,5629,0.20667710903407185
paraboloid,T,3042,8.533778252886302e-05,0.008925743401050568,0.0024457774125039577,0.9803734421730042,7.008948802947998,6.8196306228637695,0.027010923521741288,0.383,0.5305,0.3851174934725848,0.868,0.818,3830,5305,0.252642828797786
paraboloid,F,3042,0.004023317377365643,2.952502965927124,1.356377363204956,1.0659477710723877,7.008948802947998,0.009999998845160007,0.9985732526907667,0.383,0.0,1.0,1.0,0.818,3830,0,0.9931601828290239
paraboloid,T+F,3042,1.0857899529646285e-05,0.005727905780076981,0.002029484836384654,1.1720385551452637,7.008948802947998,6.467930793762207,0.07718960779942297,0.383,0.4803,0.2540469973890339,0.87,0.818,3830,4803,0.19690531724286
paraboloid,baseline,4042,6.959215269901266e-05,0.12221638858318329,0.07332682609558105,1.0525199174880981,7.00723934173584,5.052795886993408,0.2789177534013381,0.411,0.6673,0.6236009732360098,0.98,0.862,4110,6673,0.31233026968723315
paraboloid,T,4042,3.460454129016222e-05,0.007249968592077494,0.0008001903770491481,0.9678019285202026,7.00723934173584,6.620752334594727,0.05515538834804126,0.411,0.5227,0.27177615571776176,0.904,0.862,4110,5227,0.21528626801214076
paraboloid,F,4042,0.00390972753069294,3.4161248207092285,1.366471529006958,1.1042768955230713,7.00723934173584,0.009999998845160007,0.9985729046265626,0.411,0.0,1.0,1.0,0.862,4110,0,0.8567352951625649
paraboloid,T+F,4042,2.3480154926059258e-05,0.007917520590126514,0.002329018898308277,1.2431646585464478,7.00723934173584,6.190340518951416,0.11657926651925392,0.411,0.5323,0.29513381995133825,0.94,0.862,4110,5323,0.21306346295766623
paraboloid,baseline,5042,0.00020610442876222714,0.1253400295972824,0.0949602946639061,1.1065120697021484,7.144669532775879,7.5290608406066895,0.05380113188824636,0.4025,0.3318,0.17565217391304358,0.788,0.878,4025,3318,0.28975225685695477
paraboloid,T,5042,3.1905241811008595e-05,0.00633980194106698,0.00126116001047194,0.9758164882659912,7.144669532775879,5.519815921783447,0.2274218007618802,0.4025,0.6734,0.6730434782608694,0.978,0.878,4025,6734,0.26109019899721514
paraboloid,F,5042,0.004044956828824323,3.521450996398926,1.447035789489746,1.0629000663757324,7.144669532775879,0.009999998845160007,0.9986003552999498,0.4025,0.0,1.0,1.0,0.878,4025,0,0.8550849628480048
paraboloid,T+F,5042,7.218419949510204e-05,0.013198155909776688,0.003938676323741674,1.2328401803970337,7.144669532775879,6.470982551574707,0.0942922521623513,0.4025,0.4513,0.1212422360248446,0.916,0.878,4025,4513,0.24647955936618463
paraboloid,baseline,6042,7.39681177693813e-05,0.19279932975769043,0.08969110995531082,0.9168933629989624,7.506650924682617,8.179971694946289,0.08969656069256211,0.3785,0.2749,0.27371202113606347,0.704,0.854,3785,2749,0.31200961298224505
paraboloid,T,6042,4.4096594870980104e-05,0.0070128124207258224,0.0021276427432894707,0.981925904750824,7.506650924682617,5.176728248596191,0.3103811139566125,0.3785,0.5935,0.5680317040951124,0.862,0.854,3785,5935,0.21201703501132763
paraboloid,F,6042,0.0038497697061567163,3.8147318363189697,1.4367095232009888,0.9876779913902283,7.506650924682617,0.009999998845160007,0.9986678481595196,0.3785,0.0,1.0,1.0,0.854,3785,0,0.8922010108739793
paraboloid,T+F,6042,2.304621189091336e-05,0.00898003950715065,0.003171586198732257,1.2124075889587402,7.506650924682617,6.123465061187744,0.18426138065736078,0.3785,0.5656,0.4943196829590488,0.912,0.854,3785,5656,0.23541158304942839
paraboloid,baseline,7042,6.439561830527747e-05,0.11759912967681885,0.06041260436177254,1.0643031597137451,6.944425106048584,8.099698066711426,0.1663597696023247,0.385,0.4024,0.04519480519480512,0.794,0.836,3850,4024,0.2602943713594838
paraboloid,T,7042,0.0007256066324698985,0.024528268724679947,0.00522420322522521,1.0593152046203613,6.944425106048584,8.899374961853027,0.28151356317482423,0.385,0.3174,0.17558441558441557,0.512,0.836,3850,3174,0.5046704209688617
paraboloid,F,7042,0.003882833677737867,3.2041451930999756,1.264291524887085,1.0629156827926636,6.944425106048584,0.009999998845160007,0.9985599961562764,0.385,0.0,1.0,1.0,0.836,3850,0,0.9257499574289875
paraboloid,T+F,7042,0.00011788392022474488,0.015211306512355804,0.004879341460764408,1.3488587141036987,6.944425106048584,4.825748920440674,0.3050902203211244,0.385,0.7482,0.9433766233766233,0.988,0.836,3850,7482,0.3047819102810221
paraboloid,baseline,8042,0.0037538367717420283,3.4995625019073486,1.583679437637329,1.1394984722137451,7.408425331115723,0.009999998845160007,0.9986501856469877,0.3815,0.4,0.04849279161205771,1.0,0.838,3815,4000,1.5241170599180065
