condition,seed,recon_per_dim,tangent_err,E_mu,E_Sigma,sigma_min,gt_mfpt,lr_mfpt,mfpt_err,transition_frac,gt_transition_frac,gt_rate,lr_rate,rate_err,gt_transitions,lr_transitions
baseline,42,0.00032265524549240416,0.046608534,0.06999890506267548,0.03205645829439163,1.0956522226333618,7.012070655822754,0.9034399390220642,0.8711593217800998,1.0,0.908,0.441,1.5427,2.498185941043084,4410,15427
T+F,42,2.1392856565812096e-05,0.00301992,0.006293802056461573,0.0014424995752051473,1.3610491752624512,7.012070655822754,0.4753200113773346,0.9322140299623716,1.0,0.908,0.441,1.4906,2.3800453514739224,4410,14906
baseline,1042,0.00027845514176244086,0.064195074,0.06531140208244324,0.047658197581768036,0.9800424575805664,7.09271764755249,1.6854801177978516,0.7623646955156228,1.0,0.898,0.407,1.0917,1.6823095823095822,4070,10917
T+F,1042,0.00010795040394772182,0.007929845,0.005647498182952404,0.0024466775357723236,1.4439729452133179,7.09271764755249,1.723479986190796,0.7570071061850991,1.0,0.898,0.407,1.0998,1.7022113022113026,4070,10998
baseline,2042,0.0015010317279533906,0.049685605,0.07169158011674881,0.02626027725636959,1.1375540494918823,6.7164692878723145,3.1708030700683594,0.527906265306124,0.996,0.912,0.4498,0.9061,1.0144508670520234,4498,9061
T+F,2042,0.000170708157714795,0.0027069568,0.005298593081533909,0.001934277475811541,1.354296326637268,6.7164692878723145,4.008246421813965,0.40322120893912067,0.958,0.912,0.4498,0.648,0.4406402845709205,4498,6480
baseline,3042,0.0003133879297158935,0.03366267,0.037607692182064056,0.016463275998830795,1.0956441164016724,6.453475475311279,1.850119948387146,0.7133141738176503,1.0,0.892,0.4416,1.247,1.8238224637681162,4416,12470
T+F,3042,1.9404658814892173e-05,0.0018058588,0.00403868593275547,0.001179513055831194,1.3482873439788818,6.453475475311279,1.505620002746582,0.7666962540561976,1.0,0.892,0.4416,1.2333,1.7927989130434785,4416,12333
baseline,4042,0.00038262570954181933,0.050062913,0.056911006569862366,0.02896222099661827,1.0508917570114136,6.424206733703613,4.017151355743408,0.3746852300583602,0.99,0.908,0.4646,0.4687,0.008824795523030548,4646,4687
T+F,4042,2.7080778223039076e-05,0.0034075554,0.007177659310400486,0.002183447824791074,1.3494179248809814,6.424206733703613,3.1189777851104736,0.5144960437298451,0.998,0.908,0.4646,0.7636,0.6435643564356434,4646,7636
