surface,penalty,distance,reconstruction_error,n_test_samples
paraboloid,baseline,0.0,0.0350818485021591,500
paraboloid,baseline,0.1,0.1159327551722526,342
paraboloid,baseline,0.2,0.2655317187309265,345
paraboloid,baseline,0.3,0.491185188293457,301
paraboloid,baseline,0.4,0.7997841835021973,272
paraboloid,baseline,0.5,1.1123461723327637,250
paraboloid,T,0.0,0.0174247436225414,500
paraboloid,T,0.1,0.1119762435555458,342
paraboloid,T,0.2,0.2607283592224121,345
paraboloid,T,0.3,0.485111653804779,301
paraboloid,T,0.4,0.793250322341919,272
paraboloid,T,0.5,1.1083587408065796,250
paraboloid,T+K,0.0,0.0280520915985107,500
paraboloid,T+K,0.1,0.1496223509311676,342
paraboloid,T+K,0.2,0.3100162446498871,345
paraboloid,T+K,0.3,0.5379300713539124,301
paraboloid,T+K,0.4,0.8513373136520386,272
paraboloid,T+K,0.5,1.165766716003418,250
paraboloid,T+F,0.0,0.0127932541072368,500
paraboloid,T+F,0.1,0.0333948694169521,342
paraboloid,T+F,0.2,0.0860303193330764,345
paraboloid,T+F,0.3,0.1967125087976455,301
paraboloid,T+F,0.4,0.3918238878250122,272
paraboloid,T+F,0.5,0.6306275129318237,250
paraboloid,T+F+K,0.0,0.0089641353115439,500
paraboloid,T+F+K,0.1,0.0236295908689498,342
paraboloid,T+F+K,0.2,0.0719336718320846,345
paraboloid,T+F+K,0.3,0.1767945885658264,301
paraboloid,T+F+K,0.4,0.3695433735847473,272
paraboloid,T+F+K,0.5,0.606230616569519,250
paraboloid,K,0.0,0.0199980176985263,500
paraboloid,K,0.1,0.130848690867424,342
paraboloid,K,0.2,0.2738144099712372,345
paraboloid,K,0.3,0.4917748272418976,301
paraboloid,K,0.4,0.7942941784858704,272
paraboloid,K,0.5,1.102992296218872,250
hyperbolic_paraboloid,baseline,0.0,0.016513954848051,500
hyperbolic_paraboloid,baseline,0.1,0.0915067344903945,342
hyperbolic_paraboloid,baseline,0.2,0.184778556227684,345
hyperbolic_paraboloid,baseline,0.3,0.3148586452007293,301
hyperbolic_paraboloid,baseline,0.4,0.495384007692337,272
hyperbolic_paraboloid,baseline,0.5,0.6812912821769714,250
hyperbolic_paraboloid,T,0.0,0.0324652194976806,500
hyperbolic_paraboloid,T,0.1,0.0983694419264793,342
hyperbolic_paraboloid,T,0.2,0.2045156806707382,345
hyperbolic_paraboloid,T,0.3,0.3436133563518524,301
hyperbolic_paraboloid,T,0.4,0.5272894501686096,272
hyperbolic_paraboloid,T,0.5,0.7171794176101685,250
hyperbolic_paraboloid,T+K,0.0,0.0215486697852611,500
hyperbolic_paraboloid,T+K,0.1,0.1074321046471595,342
hyperbolic_paraboloid,T+K,0.2,0.2082954347133636,345
hyperbolic_paraboloid,T+K,0.3,0.3466055989265442,301
hyperbolic_paraboloid,T+K,0.4,0.5294089913368225,272
hyperbolic_paraboloid,T+K,0.5,0.7243480086326599,250
hyperbolic_paraboloid,T+F,0.0,0.0089272148907184,500
hyperbolic_paraboloid,T+F,0.1,0.0224229339510202,342
hyperbolic_paraboloid,T+F,0.2,0.0610389970242977,345
hyperbolic_paraboloid,T+F,0.3,0.1369068473577499,301
hyperbolic_paraboloid,T+F,0.4,0.265702873468399,272
hyperbolic_paraboloid,T+F,0.5,0.4214142560958862,250
hyperbolic_paraboloid,T+F+K,0.0,0.0060259117744863,500
hyperbolic_paraboloid,T+F+K,0.1,0.0152110969647765,342
hyperbolic_paraboloid,T+F+K,0.2,0.0453283414244651,345
hyperbolic_paraboloid,T+F+K,0.3,0.1083428859710693,301
hyperbolic_paraboloid,T+F+K,0.4,0.2223993688821792,272
hyperbolic_paraboloid,T+F+K,0.5,0.3639683723449707,250
hyperbolic_paraboloid,K,0.0,0.024804750457406,500
hyperbolic_paraboloid,K,0.1,0.0838260203599929,342
hyperbolic_paraboloid,K,0.2,0.180754542350769,345
hyperbolic_paraboloid,K,0.3,0.3100591003894806,301
hyperbolic_paraboloid,K,0.4,0.4956560730934143,272
hyperbolic_paraboloid,K,0.5,0.682561457157135,250
monkey_saddle,baseline,0.0,0.0718909129500389,500
monkey_saddle,baseline,0.1,0.2797576189041137,342
monkey_saddle,baseline,0.2,0.512971043586731,345
monkey_saddle,baseline,0.3,0.8959648609161377,301
monkey_saddle,baseline,0.4,1.4708056449890137,272
monkey_saddle,baseline,0.5,2.0518620014190674,250
monkey_saddle,T,0.0,0.0354971438646316,500
monkey_saddle,T,0.1,0.2262038290500641,342
monkey_saddle,T,0.2,0.4685556888580322,345
monkey_saddle,T,0.3,0.8621450662612915,301
monkey_saddle,T,0.4,1.3753094673156738,272
monkey_saddle,T,0.5,1.9143633842468264,250
monkey_saddle,T+K,0.0,0.0424598641693592,500
monkey_saddle,T+K,0.1,0.2477900832891464,342
monkey_saddle,T+K,0.2,0.4949273765087127,345
monkey_saddle,T+K,0.3,0.8733572959899902,301
monkey_saddle,T+K,0.4,1.3984370231628418,272
monkey_saddle,T+K,0.5,1.9262343645095823,250
