surface,penalty,distance,reconstruction_error,n_test_samples
hyperbolic_paraboloid,baseline,0.0,0.01651395484805107,500
hyperbolic_paraboloid,baseline,0.1,0.09150673449039459,342
hyperbolic_paraboloid,baseline,0.2,0.18477855622768402,345
hyperbolic_paraboloid,baseline,0.30000000000000004,0.31485864520072937,301
hyperbolic_paraboloid,baseline,0.4,0.49538400769233704,272
hyperbolic_paraboloid,baseline,0.5,0.6812912821769714,250
hyperbolic_paraboloid,T,0.0,0.032465219497680664,500
hyperbolic_paraboloid,T,0.1,0.09836944192647934,342
hyperbolic_paraboloid,T,0.2,0.20451568067073822,345
hyperbolic_paraboloid,T,0.30000000000000004,0.3436133563518524,301
hyperbolic_paraboloid,T,0.4,0.5272894501686096,272
hyperbolic_paraboloid,T,0.5,0.7171794176101685,250
hyperbolic_paraboloid,T+K,0.0,0.021548669785261154,500
hyperbolic_paraboloid,T+K,0.1,0.10743210464715958,342
hyperbolic_paraboloid,T+K,0.2,0.20829543471336365,345
hyperbolic_paraboloid,T+K,0.30000000000000004,0.3466055989265442,301
hyperbolic_paraboloid,T+K,0.4,0.5294089913368225,272
hyperbolic_paraboloid,T+K,0.5,0.7243480086326599,250
hyperbolic_paraboloid,T+F,0.0,0.00892721489071846,500
hyperbolic_paraboloid,T+F,0.1,0.02242293395102024,342
hyperbolic_paraboloid,T+F,0.2,0.061038997024297714,345
hyperbolic_paraboloid,T+F,0.30000000000000004,0.13690684735774994,301
hyperbolic_paraboloid,T+F,0.4,0.26570287346839905,272
hyperbolic_paraboloid,T+F,0.5,0.42141425609588623,250
hyperbolic_paraboloid,T+F+K,0.0,0.006025911774486303,500
hyperbolic_paraboloid,T+F+K,0.1,0.015211096964776516,342
hyperbolic_paraboloid,T+F+K,0.2,0.04532834142446518,345
hyperbolic_paraboloid,T+F+K,0.30000000000000004,0.10834288597106934,301
hyperbolic_paraboloid,T+F+K,0.4,0.22239936888217926,272
hyperbolic_paraboloid,T+F+K,0.5,0.3639683723449707,250
hyperbolic_paraboloid,K,0.0,0.024804750457406044,500
hyperbolic_paraboloid,K,0.1,0.08382602035999298,342
hyperbolic_paraboloid,K,0.2,0.18075454235076904,345
hyperbolic_paraboloid,K,0.30000000000000004,0.3100591003894806,301
hyperbolic_paraboloid,K,0.4,0.4956560730934143,272
hyperbolic_paraboloid,K,0.5,0.682561457157135,250
