surface,penalty,distance,reconstruction_error,n_test_samples
paraboloid,baseline,0.0,0.03508184850215912,500
paraboloid,baseline,0.1,0.11593275517225266,342
paraboloid,baseline,0.2,0.2655317187309265,345
paraboloid,baseline,0.30000000000000004,0.49118518829345703,301
paraboloid,baseline,0.4,0.7997841835021973,272
paraboloid,baseline,0.5,1.1123461723327637,250
paraboloid,T,0.0,0.017424743622541428,500
paraboloid,T,0.1,0.1119762435555458,342
paraboloid,T,0.2,0.2607283592224121,345
paraboloid,T,0.30000000000000004,0.48511165380477905,301
paraboloid,T,0.4,0.793250322341919,272
paraboloid,T,0.5,1.1083587408065796,250
paraboloid,T+K,0.0,0.028052091598510742,500
paraboloid,T+K,0.1,0.1496223509311676,342
paraboloid,T+K,0.2,0.3100162446498871,345
paraboloid,T+K,0.30000000000000004,0.5379300713539124,301
paraboloid,T+K,0.4,0.8513373136520386,272
paraboloid,T+K,0.5,1.165766716003418,250
paraboloid,T+F,0.0,0.012793254107236862,500
paraboloid,T+F,0.1,0.03339486941695213,342
paraboloid,T+F,0.2,0.08603031933307648,345
paraboloid,T+F,0.30000000000000004,0.19671250879764557,301
paraboloid,T+F,0.4,0.3918238878250122,272
paraboloid,T+F,0.5,0.6306275129318237,250
paraboloid,T+F+K,0.0,0.008964135311543941,500
paraboloid,T+F+K,0.1,0.02362959086894989,342
paraboloid,T+F+K,0.2,0.07193367183208466,345
paraboloid,T+F+K,0.30000000000000004,0.17679458856582642,301
paraboloid,T+F+K,0.4,0.3695433735847473,272
paraboloid,T+F+K,0.5,0.606230616569519,250
paraboloid,K,0.0,0.019998017698526382,500
paraboloid,K,0.1,0.130848690867424,342
paraboloid,K,0.2,0.2738144099712372,345
paraboloid,K,0.30000000000000004,0.4917748272418976,301
paraboloid,K,0.4,0.7942941784858704,272
paraboloid,K,0.5,1.102992296218872,250
