surface,penalty,distance,reconstruction_error,n_test_samples
sinusoidal,baseline,0.0,0.029166653752326965,500
sinusoidal,baseline,0.1,0.06084255501627922,342
sinusoidal,baseline,0.2,0.10156850516796112,345
sinusoidal,baseline,0.30000000000000004,0.1603139340877533,301
sinusoidal,baseline,0.4,0.23274023830890656,272
sinusoidal,baseline,0.5,0.32077956199645996,250
sinusoidal,T,0.0,0.01768345944583416,500
sinusoidal,T,0.1,0.041775643825531006,342
sinusoidal,T,0.2,0.07431779056787491,345
sinusoidal,T,0.30000000000000004,0.13105705380439758,301
sinusoidal,T,0.4,0.2042786329984665,272
sinusoidal,T,0.5,0.2890715003013611,250
sinusoidal,T+K,0.0,0.011078014969825745,500
sinusoidal,T+K,0.1,0.04036590829491615,342
sinusoidal,T+K,0.2,0.07603073120117188,345
sinusoidal,T+K,0.30000000000000004,0.13306832313537598,301
sinusoidal,T+K,0.4,0.2085784524679184,272
sinusoidal,T+K,0.5,0.2934267222881317,250
sinusoidal,T+F,0.0,0.007700858637690544,500
sinusoidal,T+F,0.1,0.010098098777234554,342
sinusoidal,T+F,0.2,0.014764979481697083,345
sinusoidal,T+F,0.30000000000000004,0.031382542103528976,301
sinusoidal,T+F,0.4,0.060354989022016525,272
sinusoidal,T+F,0.5,0.10709423571825027,250
sinusoidal,T+F+K,0.0,0.0040245200507342815,500
sinusoidal,T+F+K,0.1,0.007660570088773966,342
sinusoidal,T+F+K,0.2,0.017911270260810852,345
sinusoidal,T+F+K,0.30000000000000004,0.0415082648396492,301
sinusoidal,T+F+K,0.4,0.07813132554292679,272
sinusoidal,T+F+K,0.5,0.1329781860113144,250
sinusoidal,K,0.0,0.013799776323139668,500
sinusoidal,K,0.1,0.04124821722507477,342
sinusoidal,K,0.2,0.07339731603860855,345
sinusoidal,K,0.30000000000000004,0.12679050862789154,301
sinusoidal,K,0.4,0.19691982865333557,272
sinusoidal,K,0.5,0.28009361028671265,250
