condition,seed,recon_per_dim,tangent_err,E_mu,E_Sigma,sigma_min_in_min,sigma_min_in_p5,sigma_min_in_med,sigma_min_ext_min,sigma_min_ext_p5,sigma_min_ext_med,MFPT_gt_r0.5,MFPT_lr_r0.5,MFPT_err_r0.5,exit_frac_r0.5,MFPT_gt_r1.0,MFPT_lr_r1.0,MFPT_err_r1.0,exit_frac_r1.0,MFPT_gt_r2.0,MFPT_lr_r2.0,MFPT_err_r2.0,exit_frac_r2.0,MFPT_gt_r3.0,MFPT_lr_r3.0,MFPT_err_r3.0,exit_frac_r3.0
baseline,42,0.00011581671771718495,0.10649257,2.111178398132324,4.158583164215088,1.1044938564300537,1.2151412963867188,1.3416281938552856,1.1247403621673584,1.2207534313201904,1.361203670501709,0.07137998938560486,0.11878000199794769,0.6640518304966567,1.0,0.22657999396324158,0.3713226616382599,0.6388148624388266,0.998,0.5867950916290283,0.9070206880569458,0.5457196234190111,0.772,0.7786504626274109,1.1760715246200562,0.5103972591907567,0.224
F,42,0.005876964004478644,1.999248,12.275547981262207,56.81377029418945,0.9853155612945557,0.9854251742362976,0.9855280518531799,0.9852741360664368,0.9853885173797607,0.9855248928070068,0.07137998938560486,,,0.0,0.22657999396324158,,,0.0,0.5867950916290283,,,0.0,0.7786504626274109,,,0.0
T+F,42,0.0010383907538741382,0.028467787,0.4849094748497009,1.0663464069366455,1.3109444379806519,1.3824714422225952,1.5142165422439575,1.3070992231369019,1.3837449550628662,1.5281375646591187,0.07137998938560486,0.07545999437570572,0.057158946438897504,1.0,0.22657999396324158,0.23837999999523163,0.052078763996720664,1.0,0.5867950916290283,0.6228571534156799,0.06145597040789502,0.966,0.7786504626274109,0.9133986234664917,0.17305346533077018,0.818
baseline,1042,0.00015533176153453428,0.1957493,2.7805442810058594,6.7117509841918945,1.0222104787826538,1.101101040840149,1.3255647420883179,1.0160990953445435,1.0752294063568115,1.323237419128418,0.07825999706983566,0.0673999935388565,0.13876825884989727,1.0,0.24385999143123627,0.22697998583316803,0.06922006967603814,1.0,0.5903245210647583,0.682615339756012,0.15633912432570188,0.91,0.7765701413154602,0.9410204291343689,0.21176488647933386,0.392
F,1042,0.0055542140457760635,1.9906331,11.933204650878906,60.509727478027344,0.943988561630249,0.9440078735351562,0.9442839026451111,0.9439902305603027,0.9440212845802307,0.9442895650863647,0.07825999706983566,1.6399999856948853,19.955788999473434,0.026,0.24385999143123627,,,0.002,0.5903245210647583,,,0.0,0.7765701413154602,,,0.0
T+F,1042,0.00046314161956606813,0.04231696,0.5069178342819214,1.1588020324707031,1.3226168155670166,1.348872184753418,1.449989676475525,1.3222641944885254,1.3443502187728882,1.4659379720687866,0.07825999706983566,0.07534000277519226,0.03731145417802319,1.0,0.24385999143123627,0.23441998660564423,0.03871075681659711,1.0,0.5903245210647583,0.607310950756073,0.028774731669076802,0.952,0.7765701413154602,0.812755823135376,0.04659679775817744,0.762
baseline,2042,0.00011104387022666077,0.12026024,2.039555549621582,3.535043716430664,1.2190954685211182,1.2497137784957886,1.335556149482727,1.202275037765503,1.2497291564941406,1.3316121101379395,0.07068000733852386,0.12574000656604767,0.7790038697055082,1.0,0.21702001988887787,0.48577460646629333,1.2383861484992378,0.994,0.57255619764328,0.8691365122795105,0.5179933705320033,0.718,0.7786830067634583,1.1527026891708374,0.4803234167931389,0.37
F,2042,0.00635895918850875,1.9989402,11.483139038085938,55.8859977722168,0.95716792345047,0.9571688771247864,0.9571765065193176,0.9571683406829834,0.9571698904037476,0.9571772217750549,0.07068000733852386,,,0.0,0.21702001988887787,,,0.0,0.57255619764328,,,0.0,0.7786830067634583,,,0.0
T+F,2042,0.0001353322625605028,0.026641274,0.4238666296005249,0.6584279537200928,1.3267115354537964,1.4166547060012817,1.561636209487915,1.3210835456848145,1.3862842321395874,1.5815651416778564,0.07068000733852386,0.06958000361919403,0.015563152307856104,1.0,0.21702001988887787,0.23400001227855682,0.07824159447765845,1.0,0.57255619764328,0.6092531681060791,0.06409322021811806,0.964,0.7786830067634583,0.9364407062530518,0.2025955338942125,0.826
baseline,3042,6.697499262752817e-05,0.08272686,1.3738614320755005,2.027299642562866,1.2559990882873535,1.2827197313308716,1.3876309394836426,1.2570439577102661,1.2852600812911987,1.3643217086791992,0.07676000893115997,0.07676000148057938,9.706331070916979e-08,1.0,0.22782002389431,0.2524999976158142,0.10833101190856567,1.0,0.5777503848075867,0.8086757063865662,0.399697391211408,0.876,0.7776210904121399,1.0885000228881836,0.3997820227731704,0.32
