surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss
paraboloid,11,mb,ATLAS,42,0.000340832228010351,0.00545113068073988,0.9021885395050049,0.0005235097487457097,,,,
paraboloid,11,mb,baseline,42,4.537098654757508e-06,0.0022623410914093256,0.0067966231144964695,0.0005279264296405017,1.1159422397613525,1.1514108180999756,0.0023479414272255133,1.3604901141661685e-05
paraboloid,11,mb,T,42,1.581347202194262e-06,1.3136322195350658e-05,5.5668173445155844e-05,2.5700885544210905e-06,1.0138802528381348,1.1501272916793823,0.0027615281121273127,4.821816129866161e-07
paraboloid,11,mb,F,42,3.935046367008578e-05,0.014926954172551632,0.037559136748313904,0.0030987714417278767,1.3244519233703613,1.4055854082107544,0.0012031788106209465,0.00010756497899170167
paraboloid,11,mb,C,42,0.0012190920216116037,0.27367034554481506,0.5643254518508911,0.08355583250522614,6.760007858276367,7.492308139801025,0.5116935329777854,0.0008569736133462616
paraboloid,11,mb,T+F,42,2.4406667555674423e-08,1.2443572813936044e-05,7.367698708549142e-05,2.595662863313919e-06,1.1654776334762573,1.2640340328216553,0.004619691454406295,1.3273756443205847e-07
paraboloid,11,mb,ATLAS,1042,0.0005761516619135033,0.010980007238686085,0.5840621590614319,0.0005611350061371922,,,,
paraboloid,11,mb,baseline,1042,4.077349744461984e-06,0.0025633631739765406,0.008469533175230026,0.0004078044730704278,1.1474255323410034,1.2041739225387573,0.0005632062218085464,1.3271824043061184e-05
paraboloid,11,mb,T,1042,2.1259814027210022e-06,2.670388676051516e-05,0.00010090666182804853,4.173238266957924e-06,0.9821904301643372,1.1064937114715576,0.0004210236407483795,3.0727000778694803e-07
paraboloid,11,mb,F,1042,0.002128862183202397,0.4024507999420166,1.5422762632369995,0.18712088465690613,1.5818027257919312,1.720516562461853,0.001083603802336646,0.001622923932570432
paraboloid,11,mb,C,1042,0.002290390601212328,0.425564706325531,1.6528279781341553,0.19781135022640228,13.845480918884277,13.90311336517334,0.7846981244427818,0.0017240595438384584
paraboloid,11,mb,T+F,1042,4.0797919547747537e-08,2.4187158487620763e-05,9.4204893684946e-05,4.476144567888696e-06,1.128965139389038,1.1719975471496582,0.00023960419431594865,1.8983912042358497e-07
