surface,condition,drift_mode,seed,E_mu,E_Sigma,R1,R2,kappa_g,recon,mfpt_err,its_t2_err,stat_l1,exit_frac
paraboloid,baseline,learned,42,0.017942985519766808,0.0019119993085041642,79274.46875,7033859.0,1.4425640106201172,7.645688477245656e-07,0.05795377007720179,0.05196325581577819,0.019180499017238617,0.010000000707805157
paraboloid,baseline,oracle_drift+learned_diff,42,0.017942985519766808,0.0019119993085041642,79274.46875,7033859.0,1.4425640106201172,7.645688477245656e-07,0.019973140704990844,0.05809734732803305,0.017247535288333893,0.0
paraboloid,baseline,oracle_drift+oracle_diff,42,0.017942985519766808,0.0019119993085041642,79274.46875,7033859.0,1.4425640106201172,7.645688477245656e-07,0.0336523316027304,0.07629132811499066,0.005596168339252472,0.0
paraboloid,T,learned,42,0.0001533424510853365,5.179198524274398e-06,131304.390625,25097802.0,1.9916050434112549,7.233538057316854e-08,0.054155792183513025,0.1508722860269556,0.04131488502025604,0.03750000149011612
paraboloid,T+F,learned,42,0.0025653336197137833,0.0001797992008505389,224559.359375,55868744.0,1.8192554712295532,8.723758248234659e-08,0.1391696232915924,0.33163278982125394,0.10295990854501724,0.03450000286102295
paraboloid,T+F,oracle_drift+learned_diff,42,0.0025653336197137833,0.0001797992008505389,224559.359375,55868744.0,1.8192554712295532,8.723758248234659e-08,0.01596405218887465,0.018447216223948737,0.00910881906747818,0.0
paraboloid,T+F,oracle_drift+oracle_diff,42,0.0025653336197137833,0.0001797992008505389,224559.359375,55868744.0,1.8192554712295532,8.723758248234659e-08,0.016919292896548033,0.029669758181866505,0.0034641772508621216,0.0
paraboloid,baseline,learned,1042,0.0083492211997509,0.0005162872839719057,52444.375,4216907.0,1.4184762239456177,2.374698811057788e-07,0.08613701504805676,0.15724510294030125,0.021477386355400085,0.03450000286102295
paraboloid,baseline,oracle_drift+learned_diff,1042,0.0083492211997509,0.0005162872839719057,52444.375,4216907.0,1.4184762239456177,2.374698811057788e-07,0.027807130538853184,0.01733646704456279,0.02346329391002655,0.0
paraboloid,baseline,oracle_drift+oracle_diff,1042,0.0083492211997509,0.0005162872839719057,52444.375,4216907.0,1.4184762239456177,2.374698811057788e-07,0.04652639683661382,0.05631938142340637,0.010564401745796204,0.0
paraboloid,T,learned,1042,0.00013220823893789202,5.096940185467247e-06,86181.8125,17545654.0,2.082502603530884,6.398249073510072e-08,0.1964798645591928,0.1526749278850776,0.13382746279239655,0.01850000023841858
paraboloid,T+F,learned,1042,0.0002888171293307096,1.3788222531729843e-05,136385.890625,30106720.0,1.8642998933792114,9.038485383025002e-09,0.05948296308450795,0.0742619285124107,0.0607595294713974,0.03350000083446503
paraboloid,T+F,oracle_drift+learned_diff,1042,0.0002888171293307096,1.3788222531729843e-05,136385.890625,30106720.0,1.8642998933792114,9.038485383025002e-09,0.02874333971376994,0.04153060371764246,0.006159141659736633,0.0
paraboloid,T+F,oracle_drift+oracle_diff,1042,0.0002888171293307096,1.3788222531729843e-05,136385.890625,30106720.0,1.8642998933792114,9.038485383025002e-09,0.02834539126406576,0.03228581163599322,0.008837766945362091,0.0
