surface,condition,drift_mode,seed,E_mu,E_Sigma,R1,R2,kappa_g,recon,mfpt_err,its_t2_err,stat_l1,exit_frac
paraboloid,baseline,learned,2042,0.0042648641392588615,0.00023002410307526588,62200.84765625,2910549.25,1.3412444591522217,1.5677656096276543e-07,0.021166422000022764,0.02929255244749956,0.025218546390533447,0.030000001192092896
paraboloid,baseline,oracle_drift+learned_diff,2042,0.0042648641392588615,0.00023002410307526588,62200.84765625,2910549.25,1.3412444591522217,1.5677656096276543e-07,0.03382003931505474,0.06418979418086584,0.010617487132549286,0.0
paraboloid,baseline,oracle_drift+oracle_diff,2042,0.0042648641392588615,0.00023002410307526588,62200.84765625,2910549.25,1.3412444591522217,1.5677656096276543e-07,0.03726190170627801,0.06636959486277648,0.031103841960430145,0.0
paraboloid,T,learned,2042,0.00010750717774499208,3.5896528061130084e-06,99692.890625,12918900.0,2.002687931060791,5.639985693729858e-08,0.015535023476202203,0.03853559412395355,0.012490153312683105,0.011500000953674316
paraboloid,T+F,learned,2042,0.001929236575961113,0.00010765669867396355,285734.90625,86720168.0,1.7959486246109009,4.11067623500272e-08,0.02908566422483311,0.032961079422834966,0.02035681903362274,0.03400000184774399
paraboloid,T+F,oracle_drift+learned_diff,2042,0.001929236575961113,0.00010765669867396355,285734.90625,86720168.0,1.7959486246109009,4.11067623500272e-08,0.02132402655963247,0.0505780750725756,0.010072581470012665,0.0
paraboloid,T+F,oracle_drift+oracle_diff,2042,0.001929236575961113,0.00010765669867396355,285734.90625,86720168.0,1.7959486246109009,4.11067623500272e-08,0.0199670462857016,0.04727786572835573,0.01359710842370987,0.0
paraboloid,baseline,learned,3042,0.0094645069912076,0.0004439499753061682,28417.1171875,2535397.5,1.5449323654174805,4.4432731081189505e-07,0.21698529946693565,0.32378699384730514,0.09894300252199173,0.02200000174343586
paraboloid,baseline,oracle_drift+learned_diff,3042,0.0094645069912076,0.0004439499753061682,28417.1171875,2535397.5,1.5449323654174805,4.4432731081189505e-07,0.15904570128840767,0.08380625694212859,0.01728728413581848,0.0
paraboloid,baseline,oracle_drift+oracle_diff,3042,0.0094645069912076,0.0004439499753061682,28417.1171875,2535397.5,1.5449323654174805,4.4432731081189505e-07,0.03601434201187433,0.03882652100167529,0.004874467849731445,0.0
paraboloid,T,learned,3042,0.0001325954362982884,4.372695002530236e-06,79818.3046875,41595944.0,2.0329320430755615,9.380182655602322e-08,0.16629947989108712,0.23709158774475045,0.08937463909387589,0.007000000216066837
paraboloid,T+F,learned,3042,0.000190896142157726,1.1240452295169234e-05,207568.078125,31124538.0,1.95978844165802,2.32755802647067e-08,0.181462231199303,0.2658719568059909,0.08602814376354218,0.03450000286102295
paraboloid,T+F,oracle_drift+learned_diff,3042,0.000190896142157726,1.1240452295169234e-05,207568.078125,31124538.0,1.95978844165802,2.32755802647067e-08,0.019379955497693172,0.02987630784327466,0.004041492938995361,0.0
paraboloid,T+F,oracle_drift+oracle_diff,3042,0.000190896142157726,1.1240452295169234e-05,207568.078125,31124538.0,1.95978844165802,2.32755802647067e-08,0.024028428845132517,0.03781257624134446,0.010420963168144226,0.0
paraboloid,baseline,learned,4042,0.015605243854224682,0.0015269197756424546,126159.390625,43323308.0,1.802217721939087,6.578496624877797e-07,0.07529453795641,0.0012069744887201472,0.017406903207302094,0.019500000402331352
paraboloid,baseline,oracle_drift+learned_diff,4042,0.015605243854224682,0.0015269197756424546,126159.390625,43323308.0,1.802217721939087,6.578496624877797e-07,0.028000984063337696,0.06944027765599435,0.04357515275478363,0.0
paraboloid,baseline,oracle_drift+oracle_diff,4042,0.015605243854224682,0.0015269197756424546,126159.390625,43323308.0,1.802217721939087,6.578496624877797e-07,0.03373276976968342,0.08895079396825079,0.013037241995334625,0.0
paraboloid,T,learned,4042,0.00016497005708515644,5.8375053413328715e-06,82242.9609375,15877589.0,1.9445351362228394,1.3438552538099795e-07,0.1183854912544893,0.06508708421806794,0.07573183625936508,0.029000001028180122
paraboloid,T+F,learned,4042,0.00016488299297634512,9.198643965646625e-06,159263.78125,25143358.0,1.7998511791229248,2.2879665003931936e-08,0.0428293829538348,0.072121682210851,0.024307474493980408,0.04400000348687172
