surface,config,seed,reconstruction,tangent,curvature
paraboloid,baseline,42,0.100519806,0.39615947,3.4839542
paraboloid,T,42,0.058343392,0.008652337,0.10046604
paraboloid,K,42,0.15862109,0.17170584,1.8126103
paraboloid,F,42,0.18978502,0.6366637,2.6984384
paraboloid,T+K,42,0.056875587,0.008284003,0.08946283
paraboloid,T+F,42,0.074881576,0.01828681,0.5386975
paraboloid,F+K,42,0.32388705,0.6749521,2.7805595
paraboloid,T+F+K,42,0.06916885,0.01586831,0.2812885
paraboloid,baseline,1042,0.09147955,0.32464465,1.6276629
paraboloid,T,1042,0.04111439,0.0103495885,0.5867893
paraboloid,K,1042,0.31536627,0.69625056,3.2948852
paraboloid,F,1042,0.19105253,0.6166575,2.7227454
paraboloid,T+K,1042,0.03975659,0.010262268,0.2712744
paraboloid,T+F,1042,0.01620719,0.010549194,0.20770572
paraboloid,F+K,1042,0.31231764,0.6980325,2.8263447
paraboloid,T+F+K,1042,0.0094196955,0.0036479742,0.04636618
paraboloid,baseline,2042,0.04162493,0.06525201,38.825897
paraboloid,T,2042,0.026332477,0.0033220013,0.051237013
paraboloid,K,2042,0.14161347,0.2611037,1.2928793
paraboloid,F,2042,0.17836134,0.6054645,2.3502793
paraboloid,T+K,2042,0.022805512,0.0032499987,0.034672823
paraboloid,T+F,2042,0.009813717,0.007234163,0.1993242
paraboloid,F+K,2042,0.35418648,0.6692385,2.7155612
paraboloid,T+F+K,2042,0.008912789,0.002695101,0.046286292
paraboloid,baseline,3042,0.102241926,0.04557856,2.1255074
paraboloid,T,3042,0.030016126,0.00857226,0.17646343
paraboloid,K,3042,0.042924974,0.02700071,0.24226616
paraboloid,F,3042,0.18213265,0.6264537,2.6724327
paraboloid,T+K,3042,0.02522571,0.0072273863,0.101220004
paraboloid,T+F,3042,0.012469124,0.005351861,0.14604059
paraboloid,F+K,3042,0.3487003,0.66068983,2.8286138
paraboloid,T+F+K,3042,0.013962068,0.0052926173,0.046324622
paraboloid,baseline,4042,0.04840146,0.095330544,0.78627896
paraboloid,T,4042,0.043574527,0.009636767,0.15502535
paraboloid,K,4042,0.069942884,0.042717345,0.59252524
paraboloid,F,4042,0.20312683,0.6292527,2.6614287
paraboloid,T+K,4042,0.040286664,0.007860248,0.08791047
paraboloid,T+F,4042,0.025679799,0.011540627,0.17481445
paraboloid,F+K,4042,0.3519303,0.69329804,2.7903647
paraboloid,T+F+K,4042,0.025556426,0.008688053,0.15044446
paraboloid,baseline,5042,0.33246514,0.46486053,3.1576438
paraboloid,T,5042,0.25229368,0.06578061,0.9850891
paraboloid,K,5042,0.42448714,0.40426722,2.1485112
paraboloid,F,5042,0.45054498,0.6704483,2.811003
paraboloid,T+K,5042,0.25812134,0.068677045,1.1145865
paraboloid,T+F,5042,0.14517649,0.09726805,1.0417831
paraboloid,F+K,5042,0.49034572,0.6747767,2.9660542
paraboloid,T+F+K,5042,0.17624585,0.09803018,0.6547619
paraboloid,baseline,6042,0.3142737,0.33738697,8.117001
paraboloid,T,6042,0.14259788,0.034419306,1.2645193
paraboloid,K,6042,0.28519267,0.3644436,3.2499013
paraboloid,F,6042,0.27383545,0.6717011,2.7294385
paraboloid,T+K,6042,0.14690995,0.036091246,0.76646584
paraboloid,T+F,6042,0.061139524,0.019823639,0.51851684
paraboloid,F+K,6042,0.46182948,0.6778887,2.762898
paraboloid,T+F+K,6042,0.07375807,0.012695937,0.27003425
paraboloid,baseline,7042,0.14036864,0.16524725,2.0275571
paraboloid,T,7042,0.08259453,0.012079624,0.19420367
paraboloid,K,7042,0.23763645,0.20543528,1.9293408
paraboloid,F,7042,0.32147363,0.6663891,2.70015
paraboloid,T+K,7042,0.06579683,0.0058592195,0.13520303
paraboloid,T+F,7042,0.016790606,0.00822646,0.14379841
paraboloid,F+K,7042,0.43840024,0.6714898,2.7394803
paraboloid,T+F+K,7042,0.0072222995,0.0030100013,0.048072524
paraboloid,baseline,8042,0.1824237,0.3073269,1.685054
paraboloid,T,8042,0.06291054,0.017415062,0.20600387
paraboloid,K,8042,0.208247,0.31959742,2.9638803
paraboloid,F,8042,0.24577966,0.60474426,2.574604
paraboloid,T+K,8042,0.055742264,0.017370082,0.2527611
paraboloid,T+F,8042,0.014227598,0.010454538,0.23749854
paraboloid,F+K,8042,0.35090834,0.673836,2.8871973
paraboloid,T+F+K,8042,0.020072578,0.007837042,0.09719623
paraboloid,baseline,9042,0.10802277,0.28371277,2.3365412
paraboloid,T,9042,0.040273342,0.011606344,0.20426562
paraboloid,K,9042,0.12154375,0.24989776,1.5041287
paraboloid,F,9042,0.21848364,0.62832737,2.802421
paraboloid,T+K,9042,0.043652106,0.009881851,0.15199478
paraboloid,T+F,9042,0.04857939,0.013277224,0.17424779
paraboloid,F+K,9042,0.34464678,0.6848736,2.7707777
paraboloid,T+F+K,9042,0.026931934,0.0118579,0.11257369
