surface,config,seed,reconstruction,tangent,curvature,sigma_min_min,sigma_min_p5,sigma_min_median
paraboloid,baseline,42,0.100519806,0.39615947,3.4839542,1.251448392868042,1.2694166898727417,1.4661766290664673
paraboloid,T,42,0.058343392,0.008652337,0.10046604,0.8431614637374878,0.8682863712310791,1.1379714012145996
paraboloid,K,42,0.15862109,0.17170584,1.8126103,0.9056998491287231,0.9481865167617798,1.1633639335632324
paraboloid,F,42,0.18978502,0.6366637,2.6984384,1.8196932077407837,1.832671046257019,1.851308822631836
paraboloid,C,42,0.22228615,0.64550185,2.7776797,3.6902506351470947,3.6918423175811768,3.7576191425323486
paraboloid,T+K,42,0.056875587,0.008284003,0.08946283,0.8344897627830505,0.8505908250808716,1.1265569925308228
paraboloid,T+F,42,0.074881576,0.01828681,0.5386975,0.958664059638977,1.0293190479278564,1.4018899202346802
paraboloid,F+K,42,0.32388705,0.6749521,2.7805595,1.7558130025863647,1.8013412952423096,1.836467981338501
paraboloid,T+F+K,42,0.06916885,0.01586831,0.2812885,0.9266207218170166,0.9950853586196899,1.4679195880889893
paraboloid,baseline,1042,0.09147955,0.32464465,1.6276629,1.018332839012146,1.0678465366363525,1.2467302083969116
paraboloid,T,1042,0.04111439,0.0103495885,0.5867893,0.600553035736084,0.6556161642074585,1.036983847618103
paraboloid,K,1042,0.31536627,0.69625056,3.2948852,0.9043570756912231,0.9367424845695496,1.0230906009674072
paraboloid,F,1042,0.19105253,0.6166575,2.7227454,1.834602952003479,1.8438899517059326,1.862539529800415
paraboloid,C,1042,0.23425925,0.6178705,2.7356308,4.06191873550415,4.071003437042236,4.145172119140625
paraboloid,T+K,1042,0.03975659,0.010262268,0.2712744,0.6198462843894958,0.6663795709609985,0.995823860168457
paraboloid,T+F,1042,0.01620719,0.010549194,0.20770572,0.7748058438301086,0.9819958806037903,1.3590672016143799
paraboloid,F+K,1042,0.31231764,0.6980325,2.8263447,1.6731797456741333,1.714979648590088,1.7471004724502563
paraboloid,T+F+K,1042,0.0094196955,0.0036479742,0.04636618,0.8795070648193359,0.9475228786468506,1.320522427558899
