surface,config,seed,distance,reconstruction,tangent,curvature
half_torus,baseline,42,0.0,0.24241318,0.51386267,0.22866534
half_torus,baseline,42,0.1,0.5720027,0.79322064,0.24449581
half_torus,baseline,42,0.2,0.8822286,0.7855721,0.23463903
half_torus,baseline,42,0.3,1.0586704,0.7154356,0.22409092
half_torus,baseline,42,0.4,1.6240344,0.6713378,0.23842715
half_torus,baseline,42,0.5,1.7432826,0.5734457,0.2547777
half_torus,T,42,0.0,0.42805952,0.28183085,0.26414916
half_torus,T,42,0.1,1.0265963,0.4318331,0.19975188
half_torus,T,42,0.2,1.4781892,0.48865956,0.25922623
half_torus,T,42,0.3,1.6589048,0.5565695,0.34144622
half_torus,T,42,0.4,2.2364783,0.613055,0.48150387
half_torus,T,42,0.5,2.382981,0.6481204,0.3693942
half_torus,K,42,0.0,0.23776077,0.5116798,0.22508411
half_torus,K,42,0.1,0.5696239,0.79488254,0.24185179
half_torus,K,42,0.2,0.86826205,0.7867503,0.23330125
half_torus,K,42,0.3,1.0424384,0.7165247,0.22346611
half_torus,K,42,0.4,1.6130446,0.67362857,0.23837018
half_torus,K,42,0.5,1.7174921,0.5754216,0.25525263
half_torus,T+K,42,0.0,0.3935346,0.27682206,0.27396515
half_torus,T+K,42,0.1,0.9021439,0.43447176,0.1799042
half_torus,T+K,42,0.2,1.3638949,0.4920042,0.21625003
half_torus,T+K,42,0.3,1.548629,0.56993383,0.2693163
half_torus,T+K,42,0.4,2.204546,0.61010337,0.4505701
half_torus,T+K,42,0.5,2.3668644,0.6508945,0.38057902
half_torus,T+F,42,0.0,0.17650157,0.40263307,0.18846564
half_torus,T+F,42,0.1,0.4756754,0.71113056,0.24252293
half_torus,T+F,42,0.2,0.80375266,0.7532761,0.2420075
half_torus,T+F,42,0.3,0.9788536,0.70445037,0.2290064
half_torus,T+F,42,0.4,1.6805853,0.6796087,0.26980188
half_torus,T+F,42,0.5,2.0094266,0.6506293,0.27039516
half_torus,T+F+K,42,0.0,0.1536202,0.40452534,0.18850335
half_torus,T+F+K,42,0.1,0.43972027,0.7079488,0.24295771
half_torus,T+F+K,42,0.2,0.7436519,0.75283563,0.23999904
half_torus,T+F+K,42,0.3,0.9115361,0.7051864,0.22620648
half_torus,T+F+K,42,0.4,1.6157067,0.6815009,0.26762313
half_torus,T+F+K,42,0.5,1.922005,0.65301037,0.27103552
half_torus,baseline,1042,0.0,0.29196838,0.51693046,0.24276635
half_torus,baseline,1042,0.1,0.5000707,0.7704952,0.24209419
half_torus,baseline,1042,0.2,0.6340555,0.75178206,0.22465238
half_torus,baseline,1042,0.3,0.95638657,0.7378598,0.22121435
half_torus,baseline,1042,0.4,1.2598057,0.70988995,0.20214844
half_torus,baseline,1042,0.5,1.501049,0.57262737,0.2253134
half_torus,T,1042,0.0,0.5667789,0.2681247,0.17344925
half_torus,T,1042,0.1,0.67782336,0.4321775,0.2612085
half_torus,T,1042,0.2,1.0045079,0.5226062,0.26301503
half_torus,T,1042,0.3,1.6135149,0.59381264,0.19989699
half_torus,T,1042,0.4,2.0384586,0.62977064,0.1902885
half_torus,T,1042,0.5,2.052085,0.57423484,0.2325621
half_torus,K,1042,0.0,0.3078304,0.5143623,0.2383447
half_torus,K,1042,0.1,0.5070003,0.7692668,0.24076031
half_torus,K,1042,0.2,0.6431502,0.75255686,0.22341062
half_torus,K,1042,0.3,0.96951103,0.7391458,0.22019197
half_torus,K,1042,0.4,1.262463,0.70949537,0.20191112
half_torus,K,1042,0.5,1.4919368,0.5719061,0.2249264
half_torus,T+K,1042,0.0,0.7340651,0.30610007,0.19977878
half_torus,T+K,1042,0.1,0.7192501,0.45410156,0.3332172
half_torus,T+K,1042,0.2,0.9344412,0.5264753,0.28615713
half_torus,T+K,1042,0.3,1.4235132,0.6124643,0.29719833
half_torus,T+K,1042,0.4,1.7992127,0.6279896,0.22779314
half_torus,T+K,1042,0.5,2.1180434,0.6024585,0.26275006
half_torus,T+F,1042,0.0,0.26903138,0.3381643,0.21164827
half_torus,T+F,1042,0.1,0.5144947,0.60799897,0.4509956
half_torus,T+F,1042,0.2,0.6977224,0.6621145,0.21671273
half_torus,T+F,1042,0.3,1.1322709,0.6459938,0.2197875
half_torus,T+F,1042,0.4,1.592081,0.6378242,0.2059194
half_torus,T+F,1042,0.5,1.9021034,0.6003506,0.21644872
half_torus,T+F+K,1042,0.0,0.24928255,0.3344269,0.21522838
half_torus,T+F+K,1042,0.1,0.49933153,0.60875624,0.4265406
half_torus,T+F+K,1042,0.2,0.71435636,0.6653791,0.22191972
half_torus,T+F+K,1042,0.3,1.1447297,0.650851,0.21279897
half_torus,T+F+K,1042,0.4,1.5911033,0.64337033,0.19846146
half_torus,T+F+K,1042,0.5,1.8999525,0.6024918,0.20823272
half_torus,baseline,2042,0.0,0.20992874,0.522758,0.2541619
half_torus,baseline,2042,0.1,0.5585926,0.77633506,0.24807155
half_torus,baseline,2042,0.2,0.6938506,0.756975,0.2096561
half_torus,baseline,2042,0.3,0.85104436,0.71680343,0.22950014
half_torus,baseline,2042,0.4,1.1629055,0.66707826,0.24272093
half_torus,baseline,2042,0.5,1.3376718,0.61495155,0.22494626
half_torus,T,2042,0.0,0.39090085,0.30997851,0.31482264
half_torus,T,2042,0.1,0.6817587,0.44877383,0.29309952
half_torus,T,2042,0.2,0.8424343,0.46046704,0.3041941
half_torus,T,2042,0.3,1.0912354,0.5353579,0.33594355
half_torus,T,2042,0.4,1.7315549,0.6499993,0.28621748
half_torus,T,2042,0.5,2.0731778,0.5758724,0.31674072
