surface,config,seed,distance,reconstruction,tangent,curvature
quartic_dome,baseline,42,0.0,0.06716326,0.30700496,0.88286895
quartic_dome,baseline,42,0.1,0.15945956,0.30180672,5.431433
quartic_dome,baseline,42,0.2,0.17572789,0.5527429,4.275742
quartic_dome,baseline,42,0.3,0.18934406,0.7870509,1.609764
quartic_dome,baseline,42,0.4,0.2821735,0.8936381,0.81150126
quartic_dome,baseline,42,0.5,0.52242947,0.93158644,0.45598203
quartic_dome,T,42,0.0,0.0085198125,0.026182448,0.5042701
quartic_dome,T,42,0.1,0.037060816,0.34493172,4.790487
quartic_dome,T,42,0.2,0.062960014,0.6741898,4.005493
quartic_dome,T,42,0.3,0.11915957,0.8937008,1.67034
quartic_dome,T,42,0.4,0.2792776,0.9583414,0.95063317
quartic_dome,T,42,0.5,0.6657378,0.9596109,0.6270441
quartic_dome,K,42,0.0,0.08211742,0.406536,0.90319115
quartic_dome,K,42,0.1,0.18647721,0.27348888,5.0445924
quartic_dome,K,42,0.2,0.20061088,0.45482177,4.041233
quartic_dome,K,42,0.3,0.19798605,0.68580836,1.5298901
quartic_dome,K,42,0.4,0.26422608,0.82109535,0.77540827
quartic_dome,K,42,0.5,0.4444626,0.886701,0.43832392
quartic_dome,T+K,42,0.0,0.012702799,0.034415,0.49302107
quartic_dome,T+K,42,0.1,0.05982839,0.37590116,4.0006056
quartic_dome,T+K,42,0.2,0.094373114,0.6921091,3.5234554
quartic_dome,T+K,42,0.3,0.15471378,0.8721284,1.6256577
quartic_dome,T+K,42,0.4,0.32401365,0.9256105,0.95982015
quartic_dome,T+K,42,0.5,0.71038544,0.92036945,0.74788785
quartic_dome,T+F,42,0.0,0.010411094,0.020680908,0.40516242
quartic_dome,T+F,42,0.1,0.010622442,0.29408395,4.1450977
quartic_dome,T+F,42,0.2,0.023615122,0.59447265,3.518659
quartic_dome,T+F,42,0.3,0.07452666,0.78464264,1.5372258
quartic_dome,T+F,42,0.4,0.23958743,0.8719915,0.8968312
quartic_dome,T+F,42,0.5,0.65819216,0.89417696,0.70740134
quartic_dome,T+F+K,42,0.0,0.011443202,0.021844573,0.39576203
quartic_dome,T+F+K,42,0.1,0.010767182,0.27934873,3.8219552
quartic_dome,T+F+K,42,0.2,0.021763988,0.5562527,3.2807863
quartic_dome,T+F+K,42,0.3,0.07027322,0.73201245,1.50048
quartic_dome,T+F+K,42,0.4,0.22915581,0.81939465,0.9103457
quartic_dome,T+F+K,42,0.5,0.64032835,0.84820586,0.7341994
quartic_dome,baseline,1042,0.0,0.06946564,0.20485377,0.9823577
quartic_dome,baseline,1042,0.1,0.13915677,0.4651079,5.3010693
quartic_dome,baseline,1042,0.2,0.16352758,0.763019,3.8466878
quartic_dome,baseline,1042,0.3,0.2038052,0.89175403,1.8247249
quartic_dome,baseline,1042,0.4,0.3355186,0.9286097,0.9028201
quartic_dome,baseline,1042,0.5,0.7553937,0.90240985,0.48970073
quartic_dome,T,1042,0.0,0.042093627,0.048889365,0.7515513
quartic_dome,T,1042,0.1,0.14376955,0.40281242,5.1404533
quartic_dome,T,1042,0.2,0.19454868,0.75768673,3.902239
quartic_dome,T,1042,0.3,0.26291725,0.9266784,1.9141675
quartic_dome,T,1042,0.4,0.43087798,0.9605632,1.0835968
quartic_dome,T,1042,0.5,0.83332735,0.9331163,0.6731438
quartic_dome,K,1042,0.0,0.08606886,0.23243082,0.9880647
quartic_dome,K,1042,0.1,0.16770306,0.49161065,5.154919
quartic_dome,K,1042,0.2,0.19558111,0.77453876,3.801338
quartic_dome,K,1042,0.3,0.23462965,0.9006113,1.8374561
quartic_dome,K,1042,0.4,0.3721758,0.9378505,0.92654335
quartic_dome,K,1042,0.5,0.7846762,0.9180752,0.5148916
quartic_dome,T+K,1042,0.0,0.04193112,0.05444848,0.6209989
quartic_dome,T+K,1042,0.1,0.13102543,0.37458277,4.1853957
quartic_dome,T+K,1042,0.2,0.19350658,0.71967155,3.507531
quartic_dome,T+K,1042,0.3,0.25844344,0.90629834,1.7965491
quartic_dome,T+K,1042,0.4,0.4288259,0.9585348,1.0755131
quartic_dome,T+K,1042,0.5,0.84114146,0.9428534,0.73123425
quartic_dome,T+F,1042,0.0,0.012156197,0.05297187,0.65709186
quartic_dome,T+F,1042,0.1,0.028882531,0.4159034,4.7622437
quartic_dome,T+F,1042,0.2,0.056024794,0.77661884,3.609383
quartic_dome,T+F,1042,0.3,0.13450377,0.9366976,1.7301403
quartic_dome,T+F,1042,0.4,0.35171583,0.9679546,0.9057444
quartic_dome,T+F,1042,0.5,0.89957404,0.9361068,0.55709916
quartic_dome,T+F+K,1042,0.0,0.008723414,0.04854296,0.6013107
quartic_dome,T+F+K,1042,0.1,0.023170304,0.39188302,4.3696475
quartic_dome,T+F+K,1042,0.2,0.04509333,0.7503438,3.373929
quartic_dome,T+F+K,1042,0.3,0.11494169,0.91367036,1.664295
quartic_dome,T+F+K,1042,0.4,0.31735107,0.958035,0.9022908
quartic_dome,T+F+K,1042,0.5,0.8445693,0.9357434,0.58836037
quartic_dome,baseline,2042,0.0,0.010750446,0.08416462,0.9089374
quartic_dome,baseline,2042,0.1,0.042440824,0.57211244,5.5233526
quartic_dome,baseline,2042,0.2,0.07654633,0.88142776,3.9200325
quartic_dome,baseline,2042,0.3,0.14850393,0.97465295,1.6235474
quartic_dome,baseline,2042,0.4,0.346884,0.93073916,0.7149178
quartic_dome,baseline,2042,0.5,0.78306264,0.8542182,0.43966007
quartic_dome,T,2042,0.0,0.019657781,0.043284602,0.5074097
quartic_dome,T,2042,0.1,0.057195663,0.37356156,3.8312752
quartic_dome,T,2042,0.2,0.106934234,0.7105559,3.5161505
quartic_dome,T,2042,0.3,0.18741304,0.89456874,1.9499122
quartic_dome,T,2042,0.4,0.4078042,0.9472822,1.2134652
quartic_dome,T,2042,0.5,0.86185926,0.9367028,0.7765486
quartic_dome,K,2042,0.0,0.014679626,0.06796882,0.53142565
quartic_dome,K,2042,0.1,0.0436797,0.3998285,4.05427
quartic_dome,K,2042,0.2,0.075128786,0.6701274,2.958539
quartic_dome,K,2042,0.3,0.14823115,0.8690126,1.528544
quartic_dome,K,2042,0.4,0.3489499,0.9411154,0.8293668
quartic_dome,K,2042,0.5,0.81355625,0.9224734,0.579915
quartic_dome,T+K,2042,0.0,0.028833764,0.03419733,0.34067762
