time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
0.1,1.0,0.49680328369140625,0.6320082596921858,paraboloid,baseline,42,learned_latent,,,,
0.2,0.9799999594688416,0.7461712117097816,0.6565282701636563,paraboloid,baseline,42,learned_latent,,,,
0.5,0.9149999618530273,0.7914350332458162,0.5332988468171075,paraboloid,baseline,42,learned_latent,,,,
1.0,0.8050000071525574,1.1135832034282802,0.581704802174633,paraboloid,baseline,42,learned_latent,1.772127655157863,0.2551487982273102,,
2.0,0.5249999761581421,,,paraboloid,baseline,42,learned_latent,2.8928107118258364,0.3299296498298645,,
3.0,0.32999998331069946,,,paraboloid,baseline,42,learned_latent,2.7427355648304936,0.2872874438762665,,
4.0,0.22499999403953552,,,paraboloid,baseline,42,learned_latent,1.9664715975764577,0.21609769761562347,,
5.0,0.1599999964237213,,,paraboloid,baseline,42,learned_latent,1.7698493438984908,0.27445554733276367,,
0.1,0.9899999499320984,0.9852347325797033,1.25336629037415,paraboloid,baseline,42,end_to_end,,,3.907400608062744,10.625564575195312
0.2,0.9199999570846558,1.337674679963485,1.1769701509467076,paraboloid,baseline,42,end_to_end,,,4.63296365737915,7.8175764083862305
0.5,0.7450000047683716,1.6225682201001468,1.0933478103852554,paraboloid,baseline,42,end_to_end,,,5.22287654876709,15.971440315246582
1.0,0.4949999749660492,1.9165233265269885,1.0011383245439307,paraboloid,baseline,42,end_to_end,1.8156424325537137,0.25914236903190613,5.986474514007568,10.559126853942871
2.0,0.1599999964237213,,,paraboloid,baseline,42,end_to_end,2.70744160983066,0.27377820014953613,,
3.0,0.054999999701976776,,,paraboloid,baseline,42,end_to_end,2.827306071242325,0.33193016052246094,,
4.0,0.03500000014901161,,,paraboloid,baseline,42,end_to_end,2.062211064646817,0.2951800525188446,,
5.0,0.009999999776482582,,,paraboloid,baseline,42,end_to_end,1.9249925014936946,0.27523863315582275,,
