time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
0.1,1.0,0.5040573120117188,0.3208225664382267,half_torus,baseline,42,learned_latent,,,,
0.2,0.9799999594688416,0.5254265921456474,0.24950969556245112,half_torus,baseline,42,learned_latent,,,,
0.5,0.9149999618530273,0.5984860613046448,0.21545643861897318,half_torus,baseline,42,learned_latent,,,,
1.0,0.8050000071525574,0.6277194289687258,0.22693301898296322,half_torus,baseline,42,learned_latent,0.8193512897906985,0.1027405709028244,,
2.0,0.5249999761581421,,,half_torus,baseline,42,learned_latent,0.8837286964922255,0.12904858589172363,,
3.0,0.32999998331069946,,,half_torus,baseline,42,learned_latent,0.9422876238982684,0.12447676807641983,,
4.0,0.22499999403953552,,,half_torus,baseline,42,learned_latent,0.7737980696770127,0.12388543039560318,,
5.0,0.1599999964237213,,,half_torus,baseline,42,learned_latent,0.8486712636895389,0.11924413591623306,,
0.1,0.7799999713897705,2.534330319135617,1.6130514086628225,half_torus,baseline,42,end_to_end,,,21.370403289794922,345.0621643066406
0.2,0.5600000023841858,2.8902429853166853,1.3724917203428795,half_torus,baseline,42,end_to_end,,,23.449586868286133,412.26605224609375
0.5,0.2849999964237213,3.0645371821888707,1.1032408438226615,half_torus,baseline,42,end_to_end,,,20.047372817993164,271.9096374511719
1.0,0.08500000089406967,2.634372262393727,0.95237780294956,half_torus,baseline,42,end_to_end,1.493603393644633,0.15966087579727173,54.616207122802734,432.25909423828125
2.0,0.009999999776482582,,,half_torus,baseline,42,end_to_end,3.1969106413046786,0.5043801069259644,,
3.0,0.004999999888241291,,,half_torus,baseline,42,end_to_end,,,,
4.0,0.0,,,half_torus,baseline,42,end_to_end,,,,
5.0,0.0,,,half_torus,baseline,42,end_to_end,,,,
0.1,1.0,0.49394515991210936,0.31438638048972295,half_torus,T+F,42,learned_latent,,,,
0.2,0.9799999594688416,0.5243064724669164,0.24897778354236785,half_torus,T+F,42,learned_latent,,,,
0.5,0.9149999618530273,0.5951404675759905,0.2142520167344092,half_torus,T+F,42,learned_latent,,,,
1.0,0.8050000071525574,0.6775144020222729,0.24493488899642069,half_torus,T+F,42,learned_latent,0.8570190197017605,0.12833113968372345,,
2.0,0.5249999761581421,,,half_torus,T+F,42,learned_latent,0.9455619236749259,0.15735426545143127,,
3.0,0.32999998331069946,,,half_torus,T+F,42,learned_latent,1.0399231178953172,0.16312722861766815,,
