time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,W2,MMD
0.1,1.0,0.21547588348388672,0.2741176288417579,paraboloid,baseline,learned_latent,,
0.2,0.9799999594688416,0.4031829833984375,0.35474569709472,paraboloid,baseline,learned_latent,,
0.5,0.9149999618530273,0.4299839624290258,0.28973945008828955,paraboloid,baseline,learned_latent,,
1.0,0.8050000071525574,0.6572919573102679,0.34335098340298537,paraboloid,baseline,learned_latent,1.447544514139426,0.1590508222579956
2.0,0.5249999761581421,,,paraboloid,baseline,learned_latent,2.4704281020786407,0.20708595216274261
3.0,0.32999998331069946,,,paraboloid,baseline,learned_latent,2.3959877943070147,0.2276548147201538
4.0,0.22499999403953552,,,paraboloid,baseline,learned_latent,1.687998970338008,0.11153245717287064
5.0,0.1599999964237213,,,paraboloid,baseline,learned_latent,1.2231895808720064,0.15251658856868744
0.1,1.0,0.19058238983154296,0.2424493727787628,paraboloid,baseline,learned_ambient,,
0.2,0.9799999594688416,0.34722588986766584,0.30551113370951094,paraboloid,baseline,learned_ambient,,
0.5,0.9149999618530273,0.4780370159878757,0.3221194142956812,paraboloid,baseline,learned_ambient,,
1.0,0.8050000071525574,0.7026531148401106,0.36704638675145096,paraboloid,baseline,learned_ambient,3.5256356561628603,0.06735007464885712
2.0,0.5249999761581421,,,paraboloid,baseline,learned_ambient,16.880473347022086,0.12875959277153015
3.0,0.32999998331069946,,,paraboloid,baseline,learned_ambient,30.535618445999273,0.18444141745567322
4.0,0.22499999403953552,,,paraboloid,baseline,learned_ambient,22.85847741423697,0.2792450189590454
5.0,0.1599999964237213,,,paraboloid,baseline,learned_ambient,64.54478027111621,0.3128892481327057
0.1,1.0,0.23943735122680665,0.30460020821472356,paraboloid,T,learned_latent,,
0.2,0.9799999594688416,0.4371896860550861,0.38466692873535185,paraboloid,T,learned_latent,,
0.5,0.9149999618530273,0.45992233192985826,0.30991305532395697,paraboloid,T,learned_latent,,
1.0,0.8050000071525574,0.691176278250558,0.361051207462321,paraboloid,T,learned_latent,1.4846992420925424,0.16813509166240692
2.0,0.5249999761581421,,,paraboloid,T,learned_latent,2.5157215277733056,0.21668384969234467
3.0,0.32999998331069946,,,paraboloid,T,learned_latent,2.4237224288380563,0.2365388721227646
4.0,0.22499999403953552,,,paraboloid,T,learned_latent,1.7226603674701242,0.11954616755247116
5.0,0.1599999964237213,,,paraboloid,T,learned_latent,1.2737736307484908,0.1662072390317917
0.1,1.0,0.19551261901855468,0.24872136346532675,paraboloid,T,learned_ambient,,
0.2,0.9799999594688416,0.3775780736183634,0.33221689021795875,paraboloid,T,learned_ambient,,
0.5,0.9149999618530273,0.5307491281644894,0.35763882834258354,paraboloid,T,learned_ambient,,
1.0,0.8050000071525574,0.8276039265697788,0.4323172053081603,paraboloid,T,learned_ambient,0.7747370972892464,0.08363090455532074
2.0,0.5249999761581421,,,paraboloid,T,learned_ambient,1.3089780389435886,0.09969072043895721
3.0,0.32999998331069946,,,paraboloid,T,learned_ambient,2.779939132128547,0.0749356672167778
4.0,0.22499999403953552,,,paraboloid,T,learned_ambient,7.11878582443425,0.1513313502073288
5.0,0.1599999964237213,,,paraboloid,T,learned_ambient,9.42678464162138,0.1492064744234085
0.1,1.0,0.22338747024536132,0.284182353340699,paraboloid,K,learned_latent,,
0.2,0.9799999594688416,0.41662317392777426,0.36657122038002116,paraboloid,K,learned_latent,,
0.5,0.9149999618530273,0.44933073116781935,0.302776034298773,paraboloid,K,learned_latent,,
1.0,0.8050000071525574,0.6837401775099476,0.3571667958647407,paraboloid,K,learned_latent,1.4855742121076574,0.1705133020877838
2.0,0.5249999761581421,,,paraboloid,K,learned_latent,2.5211919620409526,0.22125309705734253
3.0,0.32999998331069946,,,paraboloid,K,learned_latent,2.4266799283622937,0.23669204115867615
4.0,0.22499999403953552,,,paraboloid,K,learned_latent,1.7322895800058387,0.12314904481172562
5.0,0.1599999964237213,,,paraboloid,K,learned_latent,1.2716829027101717,0.16564109921455383
0.1,1.0,0.17939464569091798,0.228216884918256,paraboloid,K,learned_ambient,,
0.2,0.9799999594688416,0.3337399229711416,0.2936453335029183,paraboloid,K,learned_ambient,,
0.5,0.9149999618530273,0.4635503383282104,0.3123577431975165,paraboloid,K,learned_ambient,,
1.0,0.8050000071525574,0.6853958508983162,0.3580316734579746,paraboloid,K,learned_ambient,2.5089246941588823,0.0733422189950943
2.0,0.5249999761581421,,,paraboloid,K,learned_ambient,6.797183433280038,0.25054800510406494
3.0,0.32999998331069946,,,paraboloid,K,learned_ambient,12.430941668503076,0.3965221047401428
4.0,0.22499999403953552,,,paraboloid,K,learned_ambient,18.977454883174907,0.47346794605255127
5.0,0.1599999964237213,,,paraboloid,K,learned_ambient,66.63547514476807,0.5273624062538147
0.1,1.0,0.21804901123046874,0.2773910331095387,paraboloid,T+K,learned_latent,,
0.2,0.9799999594688416,0.40941137197066324,0.36022582432431466,paraboloid,T+K,learned_latent,,
0.5,0.9149999618530273,0.4474462290279201,0.30150618551041325,paraboloid,T+K,learned_latent,,
